"region","crimes","area","population"
"Адыгея",16,7792,453366
"Алтай",30,92903,217007
"Алтайский край",196,167996,2365680
"Амурская область",111,361908,801752
"Амурская область",117,361908,801752
"Архангельская область[6]",134,589913,1165750
"Астраханская область",60,49024,1018866
"Башкортостан",320,142947,4066972
"Белгородская область",67,27134,1552865
"Брянская область",63,34857,1220530
"Бурятия",247,351334,984134
"Владимирская область",111,29084,1389599
"Волгоградская область",107,112877,2535202
"Вологодская область",86,144527,1183860
"Воронежская область",118,52216,2335408
"Дагестан",104,50270,3041900
"Еврейская АО",37,36271,164217
"Забайкальский край",209,431892,1078983
"Ивановская область",64,21437,1023170
"Ингушетия",16,3628,480474
"Иркутская область",328,774846,2408901
"Кабардино-Балкария",25,12470,864454
"Калининградская область",59,15125,986261
"Калмыкия",28,74731,277803
"Калужская область",70,29777,1014570
"Камчатский край",34,464275,314729
"Карачаево-Черкесия",26,14277,466432
"Карелия",63,180520,627083
"Кемеровская область",298,95725,2708844
"Кировская область",93,120374,1291684
"Коми",118,416774,850554
"Костромская область",29,60211,648157
"Краснодарский край",280,75485,5570945
"Красноярский край",338,2366797,2875301
"Курганская область",73,71488,854109
"Курганская область",95,71488,854109
"Курская область",53,29997,1122893
"Ленинградская область",172,83908,1791916
"Липецкая область",61,24047,1156221
"Магаданская область",35,462464,145570
"Марий Эл",48,23375,684684
"Мордовия",41,26128,808541
"Москва",351,2561,12380664
"Московская область",507,44329,7423470
"Мурманская область",52,144902,757621
"Ненецкий АО[6]",7,176810,43937
"Нижегородская область",219,76624,3247713
"Новгородская область",69,54501,612522
"Новосибирская область",251,177756,2779555
"Омская область",122,141140,1972682
"Оренбургская область",156,123702,1989589
"Орловская область",42,24652,754816
"Пензенская область",50,43352,1341526
"Пензенская область",26,43352,1341526
"Пермский край",220,160236,2632097
"Пермский край",102,160236,2632097
"Приморский край",204,164673,1923116
"Псковская область",44,55399,642164
"Ростовская область",204,100967,4231355
"Рязанская область",60,39605,1126739
"Самарская область",159,53565,3203679
"Санкт-Петербург",212,1403,5281579
"Саратовская область",111,101240,2479260
"Саха (Якутия)",143,3083523,962835
"Сахалинская область",57,87101,487344
"Свердловская область",401,194307,4329341
"Севастополь[1]",16,864,428753
"Северная Осетия — Алания",34,7987,703262
"Смоленская область",67,49779,953201
"Ставропольский край",132,66160,2804383
"Тамбовская область",49,34462,1040327
"Татарстан",284,67847,3885253
"Тверская область",117,84201,1296799
"Тверская область",97,84201,1296799
"Томская область",90,314391,1078891
"Тульская область",108,25679,1499417
"Тыва",112,168604,318550
"Ульяновская область",94,37181,1252887
"Хабаровский край",178,787633,1333294
"Хакасия",89,61569,537668
"Ханты-Мансийский АО — Югра[9]",99,534801,1646078
"Челябинская область",327,88529,3502323
"Чукотский АО",14,721481,49822
"Ямало-Ненецкий АО[9]",57,769250,536049
"Ярославская область",79,36177,1270736
